cnn_row,seq_id,fold,source,class_label,target_frame_path
16,63240cd520e7ce3ef738308aa94d9c5e,train,training,right-turn,data/processed/waymo_e2e/training/63240cd520e7ce3ef738308aa94d9c5e_144.npz
17,09a94ac4ad95bdc5a454cf9d8422c08f,train,training,straight,data/processed/waymo_e2e/training/09a94ac4ad95bdc5a454cf9d8422c08f_29.npz
18,b197472f28df9f18c22654a5b514082a,train,training,straight,data/processed/waymo_e2e/training/b197472f28df9f18c22654a5b514082a_29.npz
19,3c7ee39378ee66eb14ed7014221fd9f2,train,training,right-turn,data/processed/waymo_e2e/training/3c7ee39378ee66eb14ed7014221fd9f2_91.npz
20,f724e1663f6ab609108692952cab217a,train,training,left-turn,data/processed/waymo_e2e/training/f724e1663f6ab609108692952cab217a_31.npz
21,8153b57ce578c9a06aee465fa068d92b,train,val,straight,data/processed/waymo_e2e/val/8153b57ce578c9a06aee465fa068d92b_11.npz
22,3feb3e294068cce86c52ede02175e9bd,train,training,straight,data/processed/waymo_e2e/training/3feb3e294068cce86c52ede02175e9bd_53.npz
23,97c6f177389d0c7014180b1be480640b,train,training,right-turn,data/processed/waymo_e2e/training/97c6f177389d0c7014180b1be480640b_86.npz
24,2206bbf7ef0fb79b11fca43b2d3d139c,train,training,right-turn,data/processed/waymo_e2e/training/2206bbf7ef0fb79b11fca43b2d3d139c_209.npz
25,0264986e2919bc76c11438b12d0c5c58,train,training,straight,data/processed/waymo_e2e/training/0264986e2919bc76c11438b12d0c5c58_30.npz
26,0599203ec8bf2f8d74924f6202673add,train,training,left-turn,data/processed/waymo_e2e/training/0599203ec8bf2f8d74924f6202673add_65.npz
27,5f1aedae0c63e6a1b597f727ad589a64,train,training,left-turn,data/processed/waymo_e2e/training/5f1aedae0c63e6a1b597f727ad589a64_49.npz
28,3452a52bc1cfb7e2e27049dca043a2c6,train,training,straight,data/processed/waymo_e2e/training/3452a52bc1cfb7e2e27049dca043a2c6_31.npz
29,970d8d947bb42ce103d6e0e46d4ea333,train,training,left-turn,data/processed/waymo_e2e/training/970d8d947bb42ce103d6e0e46d4ea333_11.npz
30,794c9dfaa34d0fd32cf4f16ff888fd23,train,training,left-turn,data/processed/waymo_e2e/training/794c9dfaa34d0fd32cf4f16ff888fd23_181.npz
31,ce9680ef7c2ddfb0de3f4fad679a840f,train,training,straight,data/processed/waymo_e2e/training/ce9680ef7c2ddfb0de3f4fad679a840f_30.npz
32,d0cd7c98a15cd2280c324cb80e99e2e2,train,training,left-turn,data/processed/waymo_e2e/training/d0cd7c98a15cd2280c324cb80e99e2e2_135.npz
33,5c1bfbe96f5d1b4f0aa8684d52e1785a,train,val,left-turn,data/processed/waymo_e2e/val/5c1bfbe96f5d1b4f0aa8684d52e1785a_163.npz
34,aec26a9fac5163b7a2b427ca4e4980af,train,training,right-turn,data/processed/waymo_e2e/training/aec26a9fac5163b7a2b427ca4e4980af_161.npz
35,43d1c10ed3bb5583283743287373653d,train,val,left-turn,data/processed/waymo_e2e/val/43d1c10ed3bb5583283743287373653d_76.npz
36,4c1967287fb0b6b4624ccf4a8266a295,train,training,left-turn,data/processed/waymo_e2e/training/4c1967287fb0b6b4624ccf4a8266a295_60.npz
37,fb9df2955a6b4da8b41d4dd269dda4dc,train,training,straight,data/processed/waymo_e2e/training/fb9df2955a6b4da8b41d4dd269dda4dc_30.npz
38,d7a169aa0b0b8247631ead8c0dad382f,train,val,right-turn,data/processed/waymo_e2e/val/d7a169aa0b0b8247631ead8c0dad382f_9.npz
39,d776ddaae451e82da0ea5cc8744f9b41,train,training,right-turn,data/processed/waymo_e2e/training/d776ddaae451e82da0ea5cc8744f9b41_143.npz
40,3eb8d4b12eaaac3feccb36e4f6287d7f,train,training,straight,data/processed/waymo_e2e/training/3eb8d4b12eaaac3feccb36e4f6287d7f_29.npz
41,754e52459dc2606e53b36de9257d3f71,train,training,straight,data/processed/waymo_e2e/training/754e52459dc2606e53b36de9257d3f71_30.npz
42,ad4545823738926e52edc5f01e632c69,train,val,left-turn,data/processed/waymo_e2e/val/ad4545823738926e52edc5f01e632c69_9.npz
43,f144dc2fc89614a0436b4ca846e0b31e,train,training,straight,data/processed/waymo_e2e/training/f144dc2fc89614a0436b4ca846e0b31e_89.npz
44,98b7e2af184b84c99920c8d0c6db01a8,train,training,straight,data/processed/waymo_e2e/training/98b7e2af184b84c99920c8d0c6db01a8_29.npz
45,b36e6ce9701bcee2ad88384f66ef8a8b,train,training,straight,data/processed/waymo_e2e/training/b36e6ce9701bcee2ad88384f66ef8a8b_29.npz
46,3f05136479bda5b363c453dc152f40d4,train,training,right-turn,data/processed/waymo_e2e/training/3f05136479bda5b363c453dc152f40d4_67.npz
47,e8d7be811a92861bf06d4474ea71b7f3,train,training,left-turn,data/processed/waymo_e2e/training/e8d7be811a92861bf06d4474ea71b7f3_163.npz
48,918896c196d157e96fa93582e4bb4fcf,train,training,left-turn,data/processed/waymo_e2e/training/918896c196d157e96fa93582e4bb4fcf_132.npz
49,c1e935659e5a6a4d51614efd3ac7de9e,train,training,straight,data/processed/waymo_e2e/training/c1e935659e5a6a4d51614efd3ac7de9e_30.npz
50,03a45b0b1b4fa93d39c16dff004065f3,train,training,left-turn,data/processed/waymo_e2e/training/03a45b0b1b4fa93d39c16dff004065f3_70.npz
51,57fe298c63a0f333f959c5501b2e0bc4,train,training,straight,data/processed/waymo_e2e/training/57fe298c63a0f333f959c5501b2e0bc4_11.npz
52,2dd9daa2312e66da3c0ea477145b70b8,train,val,left-turn,data/processed/waymo_e2e/val/2dd9daa2312e66da3c0ea477145b70b8_10.npz
53,b2f51973a06266445465c6ea3780dfbb,train,val,straight,data/processed/waymo_e2e/val/b2f51973a06266445465c6ea3780dfbb_10.npz
54,42b65e43c0248e89c2909b6ad2b37969,train,training,left-turn,data/processed/waymo_e2e/training/42b65e43c0248e89c2909b6ad2b37969_157.npz
55,0baab512943ef37ae2904b8c31d6b1d6,train,training,right-turn,data/processed/waymo_e2e/training/0baab512943ef37ae2904b8c31d6b1d6_84.npz
56,73dcd962fb55dc44b61ee7c1472d16fb,train,training,left-turn,data/processed/waymo_e2e/training/73dcd962fb55dc44b61ee7c1472d16fb_31.npz
57,aee19fdc995892d79ada717de4417da0,train,training,straight,data/processed/waymo_e2e/training/aee19fdc995892d79ada717de4417da0_30.npz
58,dd772e9462b4dddae0f030c1325312a7,train,training,straight,data/processed/waymo_e2e/training/dd772e9462b4dddae0f030c1325312a7_31.npz
59,9ac9e56e4ac9c630d35ffca845a8114c,train,val,left-turn,data/processed/waymo_e2e/val/9ac9e56e4ac9c630d35ffca845a8114c_82.npz
60,358fc249801507efa38509377e975e79,train,training,left-turn,data/processed/waymo_e2e/training/358fc249801507efa38509377e975e79_36.npz
61,fa5075ea2c614c1d56ff273d8609ea93,train,training,straight,data/processed/waymo_e2e/training/fa5075ea2c614c1d56ff273d8609ea93_31.npz
62,80fb758fd0f7865d64d1d15ed7594d2a,train,training,right-turn,data/processed/waymo_e2e/training/80fb758fd0f7865d64d1d15ed7594d2a_58.npz
63,a297353c939533fa26edba04913430c2,train,training,left-turn,data/processed/waymo_e2e/training/a297353c939533fa26edba04913430c2_138.npz
64,cfd75c8e6085b11d68e8ae50fa7d1d37,train,training,left-turn,data/processed/waymo_e2e/training/cfd75c8e6085b11d68e8ae50fa7d1d37_206.npz
65,45119af3ff4c0af055dffbc772ee5ff6,train,training,straight,data/processed/waymo_e2e/training/45119af3ff4c0af055dffbc772ee5ff6_30.npz
66,741966418c00a9373df9a0594a6d150e,train,training,right-turn,data/processed/waymo_e2e/training/741966418c00a9373df9a0594a6d150e_71.npz
67,cccf5e1507d5f519ea35e92ff3db0d6c,train,training,left-turn,data/processed/waymo_e2e/training/cccf5e1507d5f519ea35e92ff3db0d6c_167.npz
68,f9637bdf0ae1d5b1f09d77ec2b98b002,train,training,right-turn,data/processed/waymo_e2e/training/f9637bdf0ae1d5b1f09d77ec2b98b002_180.npz
69,19053d854e5b90120e2817f43b50ac6d,train,training,straight,data/processed/waymo_e2e/training/19053d854e5b90120e2817f43b50ac6d_29.npz
70,1b1cab624824b4192fb2e660b711c0b3,train,training,straight,data/processed/waymo_e2e/training/1b1cab624824b4192fb2e660b711c0b3_30.npz
71,50583c556d9028c66fa8766b795f9489,train,training,right-turn,data/processed/waymo_e2e/training/50583c556d9028c66fa8766b795f9489_145.npz
72,cddf0bcff072c86d54d918d09227131f,train,training,straight,data/processed/waymo_e2e/training/cddf0bcff072c86d54d918d09227131f_31.npz
73,867522daf0760d1c993a392ec2468f66,train,training,left-turn,data/processed/waymo_e2e/training/867522daf0760d1c993a392ec2468f66_143.npz
74,e7c68b4cf8c0cc6950fa9d7d1cc1d128,train,training,straight,data/processed/waymo_e2e/training/e7c68b4cf8c0cc6950fa9d7d1cc1d128_9.npz
75,a45e0ced7d86d8413f0b830677bb6c8a,train,val,right-turn,data/processed/waymo_e2e/val/a45e0ced7d86d8413f0b830677bb6c8a_123.npz
76,ba331921d560e083f2d88621167bf095,train,training,straight,data/processed/waymo_e2e/training/ba331921d560e083f2d88621167bf095_30.npz
77,3dc25ced8a65ab9eb2f87a2c79a33017,train,training,left-turn,data/processed/waymo_e2e/training/3dc25ced8a65ab9eb2f87a2c79a33017_11.npz
78,b4a939e096422fe3acce8a2f6abc34df,train,training,right-turn,data/processed/waymo_e2e/training/b4a939e096422fe3acce8a2f6abc34df_177.npz
79,ef175d9324e965a25ceb6dcd0fda96bf,train,training,straight,data/processed/waymo_e2e/training/ef175d9324e965a25ceb6dcd0fda96bf_30.npz
80,1f3f1dfb3fd6cb2bb2b26a7b2b7ea347,train,training,left-turn,data/processed/waymo_e2e/training/1f3f1dfb3fd6cb2bb2b26a7b2b7ea347_11.npz
81,2ffb582fe772ccb7539a7801ad3034e2,train,training,left-turn,data/processed/waymo_e2e/training/2ffb582fe772ccb7539a7801ad3034e2_159.npz
82,a6083990380c127732766a0a83a61c84,train,training,left-turn,data/processed/waymo_e2e/training/a6083990380c127732766a0a83a61c84_134.npz
83,77f3730f92afb56e73c0a650a1f846a7,train,val,right-turn,data/processed/waymo_e2e/val/77f3730f92afb56e73c0a650a1f846a7_66.npz
84,02a549944c0a5338903c22adb57b0501,train,val,straight,data/processed/waymo_e2e/val/02a549944c0a5338903c22adb57b0501_9.npz
85,c6e0a7ff5f95ef5e69cc9b790d177166,train,training,right-turn,data/processed/waymo_e2e/training/c6e0a7ff5f95ef5e69cc9b790d177166_76.npz
86,47c9dbe4aa67d803801eae93dd18c1b5,train,training,straight,data/processed/waymo_e2e/training/47c9dbe4aa67d803801eae93dd18c1b5_29.npz
87,728fb4ad9bc820f375ec0f4ced1de012,train,training,right-turn,data/processed/waymo_e2e/training/728fb4ad9bc820f375ec0f4ced1de012_213.npz
88,18ddb334fa62343aff3482fe401f908b,train,val,right-turn,data/processed/waymo_e2e/val/18ddb334fa62343aff3482fe401f908b_42.npz
89,bf5ce21bed408c229595eea25846db55,train,val,right-turn,data/processed/waymo_e2e/val/bf5ce21bed408c229595eea25846db55_12.npz
90,e0d81fe8a4aa31f6407ef6a5c9370d54,train,training,right-turn,data/processed/waymo_e2e/training/e0d81fe8a4aa31f6407ef6a5c9370d54_210.npz
91,f8032bdcdd7c589daa2e07b1c83edc61,train,training,right-turn,data/processed/waymo_e2e/training/f8032bdcdd7c589daa2e07b1c83edc61_197.npz
92,20f42f93e826b5645764f5c93a9745ac,train,training,straight,data/processed/waymo_e2e/training/20f42f93e826b5645764f5c93a9745ac_31.npz
93,75c6ed420afbb9713f97bdc97efdc668,train,val,straight,data/processed/waymo_e2e/val/75c6ed420afbb9713f97bdc97efdc668_9.npz
94,c8cccdb66479dc6c68bfed55b3860c71,train,training,left-turn,data/processed/waymo_e2e/training/c8cccdb66479dc6c68bfed55b3860c71_162.npz
95,cf18218e2662ecf0018d911ff4276475,train,training,left-turn,data/processed/waymo_e2e/training/cf18218e2662ecf0018d911ff4276475_29.npz
96,945063b5b287cb90b46c6f321e525451,train,training,straight,data/processed/waymo_e2e/training/945063b5b287cb90b46c6f321e525451_30.npz
97,9be8ec0b20b262b6fede7700cc700c85,train,training,right-turn,data/processed/waymo_e2e/training/9be8ec0b20b262b6fede7700cc700c85_153.npz
98,d39e58a488ce56a6bada02d91db8d48f,train,training,left-turn,data/processed/waymo_e2e/training/d39e58a488ce56a6bada02d91db8d48f_160.npz
99,6b0b11c1e03eb1a6aba713fb90f76b38,train,training,right-turn,data/processed/waymo_e2e/training/6b0b11c1e03eb1a6aba713fb90f76b38_123.npz
100,1a13b64b69b568c4ccbb572bc3f0257b,train,val,right-turn,data/processed/waymo_e2e/val/1a13b64b69b568c4ccbb572bc3f0257b_48.npz
101,7b84c495e77174fc9bdc4adb21238a2c,train,training,straight,data/processed/waymo_e2e/training/7b84c495e77174fc9bdc4adb21238a2c_30.npz
102,436081c390ac5db93530b8c6215b0c78,train,training,straight,data/processed/waymo_e2e/training/436081c390ac5db93530b8c6215b0c78_31.npz
103,8ad3017a2851714eae54df2fe5c472b6,train,training,straight,data/processed/waymo_e2e/training/8ad3017a2851714eae54df2fe5c472b6_112.npz
104,a47b225349f5ea94b3481c28efefe0ad,train,training,right-turn,data/processed/waymo_e2e/training/a47b225349f5ea94b3481c28efefe0ad_201.npz
105,5143859b979bdf517ec4d9e3d2a10ede,train,training,right-turn,data/processed/waymo_e2e/training/5143859b979bdf517ec4d9e3d2a10ede_176.npz
106,02f54c9ba4400eb41bc4602dbc2264d6,train,training,left-turn,data/processed/waymo_e2e/training/02f54c9ba4400eb41bc4602dbc2264d6_126.npz
107,1c78fa0e898230edb35e8d32eddf0b5b,train,training,left-turn,data/processed/waymo_e2e/training/1c78fa0e898230edb35e8d32eddf0b5b_165.npz
108,209bab47770806622b4928107487fbc3,train,training,right-turn,data/processed/waymo_e2e/training/209bab47770806622b4928107487fbc3_166.npz
109,3c3752934a8eaea0ebb61debf410fa75,train,training,straight,data/processed/waymo_e2e/training/3c3752934a8eaea0ebb61debf410fa75_123.npz
110,83555f6a5d48570a6ce2e25be016be3b,train,training,straight,data/processed/waymo_e2e/training/83555f6a5d48570a6ce2e25be016be3b_84.npz
111,c268c140cc718a0a105281dc562b6ac5,train,training,straight,data/processed/waymo_e2e/training/c268c140cc718a0a105281dc562b6ac5_142.npz
112,c16466745d41f12141ed6f69f548c0cd,train,training,straight,data/processed/waymo_e2e/training/c16466745d41f12141ed6f69f548c0cd_31.npz
113,0075c28f1f1a68c4c1c8dcf37958046b,train,val,right-turn,data/processed/waymo_e2e/val/0075c28f1f1a68c4c1c8dcf37958046b_216.npz
114,5cc38c0c02d1df36dd37d80bae482f1c,train,training,right-turn,data/processed/waymo_e2e/training/5cc38c0c02d1df36dd37d80bae482f1c_29.npz
115,3ae77e615e74eb6391a36c67a0be138f,train,training,right-turn,data/processed/waymo_e2e/training/3ae77e615e74eb6391a36c67a0be138f_10.npz
116,cb7d21c1b555518fe69c03e6cb6aae28,train,training,straight,data/processed/waymo_e2e/training/cb7d21c1b555518fe69c03e6cb6aae28_30.npz
117,03331cbc7ddbf767dc2fd374c2cc0684,train,training,straight,data/processed/waymo_e2e/training/03331cbc7ddbf767dc2fd374c2cc0684_10.npz
118,cd70d828dc4932b17f48bd58b8cc390f,train,training,straight,data/processed/waymo_e2e/training/cd70d828dc4932b17f48bd58b8cc390f_42.npz
119,babc77f7843aa2dd944fe86237b7aabd,train,training,straight,data/processed/waymo_e2e/training/babc77f7843aa2dd944fe86237b7aabd_71.npz
120,a8ab788b9e8b94ef586ec9fc4cbde325,train,training,right-turn,data/processed/waymo_e2e/training/a8ab788b9e8b94ef586ec9fc4cbde325_170.npz
121,582fe552305feb72af7f503157189965,train,training,straight,data/processed/waymo_e2e/training/582fe552305feb72af7f503157189965_30.npz
122,57b398d4f28e0b951e6ce86fb3cdf126,train,training,left-turn,data/processed/waymo_e2e/training/57b398d4f28e0b951e6ce86fb3cdf126_191.npz
123,a32127980353a23ff8bbfd83ea2b2341,train,training,straight,data/processed/waymo_e2e/training/a32127980353a23ff8bbfd83ea2b2341_30.npz
124,066358b1dd3cfe763a7f71fb805833f8,train,training,straight,data/processed/waymo_e2e/training/066358b1dd3cfe763a7f71fb805833f8_10.npz
125,29769d067532845c707ff78a86f55d13,train,training,straight,data/processed/waymo_e2e/training/29769d067532845c707ff78a86f55d13_37.npz
126,c5a5207f3418a049616ffbf5268bf8d5,train,training,straight,data/processed/waymo_e2e/training/c5a5207f3418a049616ffbf5268bf8d5_29.npz
127,00f20fd34a1ffd4ced354f04eea88494,train,training,straight,data/processed/waymo_e2e/training/00f20fd34a1ffd4ced354f04eea88494_30.npz
128,e84dd15e73c7434ce48ca2c15728e6f2,train,training,straight,data/processed/waymo_e2e/training/e84dd15e73c7434ce48ca2c15728e6f2_29.npz
129,9178c10600c5d8641296336046450cda,train,training,right-turn,data/processed/waymo_e2e/training/9178c10600c5d8641296336046450cda_30.npz
130,53c1a4ede639a04c4423bcb18268b2a2,train,training,left-turn,data/processed/waymo_e2e/training/53c1a4ede639a04c4423bcb18268b2a2_30.npz
131,6b00f6569d7d14cb146369c002ef6be2,train,training,right-turn,data/processed/waymo_e2e/training/6b00f6569d7d14cb146369c002ef6be2_101.npz
132,920d9d93127be940246d52863435ad80,train,training,right-turn,data/processed/waymo_e2e/training/920d9d93127be940246d52863435ad80_159.npz
133,9a6e035b5e2444989a4b79aad9433cb6,train,training,straight,data/processed/waymo_e2e/training/9a6e035b5e2444989a4b79aad9433cb6_11.npz
134,d69b6d5dadc361ae15030b67780d055c,train,training,right-turn,data/processed/waymo_e2e/training/d69b6d5dadc361ae15030b67780d055c_197.npz
135,704dc825c3e77e98716ac867f106e5d3,train,training,straight,data/processed/waymo_e2e/training/704dc825c3e77e98716ac867f106e5d3_116.npz
136,21d1601bc523e911999b2e887df93966,train,training,straight,data/processed/waymo_e2e/training/21d1601bc523e911999b2e887df93966_29.npz
137,d5101b7595adfa1bb3bda6fb73e5dd96,train,training,right-turn,data/processed/waymo_e2e/training/d5101b7595adfa1bb3bda6fb73e5dd96_140.npz
138,20b9eb9f36d6d6f4764e0b8bc5488909,train,training,right-turn,data/processed/waymo_e2e/training/20b9eb9f36d6d6f4764e0b8bc5488909_160.npz
139,7bb3a6d91628d67308a97bcdbcc84c03,train,training,right-turn,data/processed/waymo_e2e/training/7bb3a6d91628d67308a97bcdbcc84c03_229.npz
140,f2cf5028c7ff1f86dcbf92c2796205cc,train,training,left-turn,data/processed/waymo_e2e/training/f2cf5028c7ff1f86dcbf92c2796205cc_11.npz
141,148023fc437f474120fae06b1e35d6d6,train,training,right-turn,data/processed/waymo_e2e/training/148023fc437f474120fae06b1e35d6d6_184.npz
142,0a180b3d6dd4512c4e661844428ba2a2,train,training,straight,data/processed/waymo_e2e/training/0a180b3d6dd4512c4e661844428ba2a2_124.npz
143,5acced302c48e40cb111bb4d05cd22d2,train,training,right-turn,data/processed/waymo_e2e/training/5acced302c48e40cb111bb4d05cd22d2_31.npz
144,84703b69db5a8dbe4b9e7ac1508ea443,train,training,right-turn,data/processed/waymo_e2e/training/84703b69db5a8dbe4b9e7ac1508ea443_119.npz
145,42451935d11654513bbcd66b5a61a551,train,training,right-turn,data/processed/waymo_e2e/training/42451935d11654513bbcd66b5a61a551_119.npz
146,9d2824b2821c3eff868e9eae7504bcef,train,training,straight,data/processed/waymo_e2e/training/9d2824b2821c3eff868e9eae7504bcef_48.npz
147,6567b0c95aae8192daea6207ca30f5bd,train,val,straight,data/processed/waymo_e2e/val/6567b0c95aae8192daea6207ca30f5bd_9.npz
148,e457fdeb68c7cea9e839a2a289a4f8cf,train,val,straight,data/processed/waymo_e2e/val/e457fdeb68c7cea9e839a2a289a4f8cf_29.npz
149,0faa4a35951b9d9a544c43982763a273,train,training,straight,data/processed/waymo_e2e/training/0faa4a35951b9d9a544c43982763a273_30.npz
150,3d5ca62d4bc3d335dec208e851d03535,train,training,straight,data/processed/waymo_e2e/training/3d5ca62d4bc3d335dec208e851d03535_9.npz
151,207e3be24f885e0cce1ec7ab5a143fda,train,training,straight,data/processed/waymo_e2e/training/207e3be24f885e0cce1ec7ab5a143fda_121.npz
152,be5d9f5eb89c8d3b136e8a24a4521899,train,training,right-turn,data/processed/waymo_e2e/training/be5d9f5eb89c8d3b136e8a24a4521899_30.npz
153,cf5a330837edcf65db0e75952120fd29,train,training,left-turn,data/processed/waymo_e2e/training/cf5a330837edcf65db0e75952120fd29_168.npz
154,98cbb6fb85e0b0f17c2d58eb41c84055,train,training,straight,data/processed/waymo_e2e/training/98cbb6fb85e0b0f17c2d58eb41c84055_30.npz
155,a1bbf9e17c360e5e2899a9070ff4f0c4,train,training,straight,data/processed/waymo_e2e/training/a1bbf9e17c360e5e2899a9070ff4f0c4_30.npz
156,3686c070f4c6e3cb3294801cc8f7dd45,train,training,left-turn,data/processed/waymo_e2e/training/3686c070f4c6e3cb3294801cc8f7dd45_132.npz
157,d1b9ffa6a90456a88edf290aa737a786,train,training,left-turn,data/processed/waymo_e2e/training/d1b9ffa6a90456a88edf290aa737a786_42.npz
158,97e023827ba6d2ab8e49260007212cc7,train,training,right-turn,data/processed/waymo_e2e/training/97e023827ba6d2ab8e49260007212cc7_30.npz
159,76d5c0de5a64a60a731719bb174279e8,train,training,straight,data/processed/waymo_e2e/training/76d5c0de5a64a60a731719bb174279e8_30.npz
160,67e48b2418513be729659cf32babeed8,train,training,straight,data/processed/waymo_e2e/training/67e48b2418513be729659cf32babeed8_109.npz
161,5c8ab80f51104fe6c49f6ed9801ecbc9,train,training,straight,data/processed/waymo_e2e/training/5c8ab80f51104fe6c49f6ed9801ecbc9_30.npz
162,46933f5db465b1ed13dc48343129c8b5,train,val,straight,data/processed/waymo_e2e/val/46933f5db465b1ed13dc48343129c8b5_11.npz
163,00c73f2a3515da4249d4416a544c09b2,train,val,straight,data/processed/waymo_e2e/val/00c73f2a3515da4249d4416a544c09b2_11.npz
164,4a3b6441d1b40aa1daa316da25acac92,train,training,straight,data/processed/waymo_e2e/training/4a3b6441d1b40aa1daa316da25acac92_30.npz
165,ceee86ab375be646eaa24e001f834efd,train,training,left-turn,data/processed/waymo_e2e/training/ceee86ab375be646eaa24e001f834efd_159.npz
166,794abdbc1f16cc8fb1c6740e3cd208d2,train,training,straight,data/processed/waymo_e2e/training/794abdbc1f16cc8fb1c6740e3cd208d2_30.npz
167,fcc3695b470dbc122f6e85594edb206a,train,training,left-turn,data/processed/waymo_e2e/training/fcc3695b470dbc122f6e85594edb206a_140.npz
168,aa8310164f8ba7384c0d2af4a05f32c1,train,training,right-turn,data/processed/waymo_e2e/training/aa8310164f8ba7384c0d2af4a05f32c1_226.npz
169,e9247a21c8727c51ebbbedb9467c941f,train,training,left-turn,data/processed/waymo_e2e/training/e9247a21c8727c51ebbbedb9467c941f_53.npz
170,a95373c94ac8a0a54a45ec61e8afaebb,train,training,straight,data/processed/waymo_e2e/training/a95373c94ac8a0a54a45ec61e8afaebb_11.npz
171,2f7a008f2b7d7a2c897db23af3a0b0a7,train,val,left-turn,data/processed/waymo_e2e/val/2f7a008f2b7d7a2c897db23af3a0b0a7_10.npz
172,f73fd5f0e4dfed53eb472a16fdaaaa1a,train,training,right-turn,data/processed/waymo_e2e/training/f73fd5f0e4dfed53eb472a16fdaaaa1a_76.npz
173,f6f09a3c691729fcb32f080d294bbd58,train,training,straight,data/processed/waymo_e2e/training/f6f09a3c691729fcb32f080d294bbd58_29.npz
174,f53d56864a28f546a53b385f76b4042d,train,training,straight,data/processed/waymo_e2e/training/f53d56864a28f546a53b385f76b4042d_44.npz
175,12b43975d5ee9b414e1d9f42eb4853ae,train,training,right-turn,data/processed/waymo_e2e/training/12b43975d5ee9b414e1d9f42eb4853ae_141.npz
176,0f76f9048ab4644c00643b06e7649595,train,val,straight,data/processed/waymo_e2e/val/0f76f9048ab4644c00643b06e7649595_9.npz
177,78f7905cd336355da76d0b674055db1e,train,training,straight,data/processed/waymo_e2e/training/78f7905cd336355da76d0b674055db1e_10.npz
178,31c67fe6e783d2fbe2b22a8e21f21fa8,train,training,straight,data/processed/waymo_e2e/training/31c67fe6e783d2fbe2b22a8e21f21fa8_30.npz
179,4f1faae60d895559fbd2629fa61e23a8,train,training,right-turn,data/processed/waymo_e2e/training/4f1faae60d895559fbd2629fa61e23a8_199.npz
180,cdcabe1c0037d309de0d5fdd53becf18,train,training,straight,data/processed/waymo_e2e/training/cdcabe1c0037d309de0d5fdd53becf18_29.npz
181,8a4d7fbeab0a9306b10f81a008aee625,train,training,straight,data/processed/waymo_e2e/training/8a4d7fbeab0a9306b10f81a008aee625_45.npz
182,27c2641b6ae8209b1e6d40bd23e61d5e,train,training,right-turn,data/processed/waymo_e2e/training/27c2641b6ae8209b1e6d40bd23e61d5e_128.npz
183,b785cd5e934bee5a1d1e986309f0eae8,train,training,straight,data/processed/waymo_e2e/training/b785cd5e934bee5a1d1e986309f0eae8_30.npz
184,d3b0571d016b2ee0427fb4683d2d62cf,train,training,left-turn,data/processed/waymo_e2e/training/d3b0571d016b2ee0427fb4683d2d62cf_85.npz
185,32dc70f74081007a59dcc623cb29a7fc,train,training,right-turn,data/processed/waymo_e2e/training/32dc70f74081007a59dcc623cb29a7fc_114.npz
186,0ff2a0b677059090b41b8339292c4c3c,train,training,straight,data/processed/waymo_e2e/training/0ff2a0b677059090b41b8339292c4c3c_29.npz
